#TYPE System.Management.Automation.PSCustomObject
"File","Action","ShortCutKey"
"InteractionGroups.Page","""Interaction Log E&ntries""","Ctrl+F7"
"InteractionGroups.Page","Statistics","F7"
"InteractionTemplates.Page","""Interaction Log E&ntries""","Ctrl+F7"
"InteractionTemplates.Page","Statistics","F7"
"InteractionTemplates.Page","Open","Return"
"InteractTmplLanguages.Page","Open","Return"
"InternalMovementSubform.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"InternalPutawaySubform.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"IntrastatJnlBatches.Page","EditJournal","Return"
"IntrastatJournal.Page","Item","Shift+F7"
"InventoryMovement.Page","GetSourceDocument","Ctrl+F7"
"InventoryMovement.Page","""&Register Invt. Movement""","F9"
"InventoryPeriods.Page","""Invt. Period E&ntries""","Ctrl+F7"
"InventoryPick.Page","""&Get Source Document""","Ctrl+F7"
"InventoryPick.Page","""P&ost""","F9"
"InventoryPick.Page","PostAndPrint","Shift+F9"
"InventoryPutaway.Page","GetSourceDocument","Ctrl+F7"
"InventoryPutaway.Page","""P&ost""","F9"
"InventoryPutaway.Page","""Post and &Print""","Shift+F9"
"InvtMovementSubform.Page","SplitWhseActivityLine","Ctrl+F11"
"InvtPickSubform.Page","SplitWhseActivityLine","Ctrl+F11"
"InvtPutawaySubform.Page","SplitWhseActivityLine","Ctrl+F11"
"IssuedFinanceChargeMemo.Page","Dimensions","Alt+D"
"IssuedFinanceChargeMemo.Page","Statistics","F7"
"IssuedFinChargeMemoList.Page","Statistics","F7"
"IssuedReminder.Page","Dimensions","Alt+D"
"IssuedReminder.Page","Statistics","F7"
"IssuedReminderList.Page","Statistics","F7"
"ItemAnalysisViewList.Page","Card","Shift+F7"
"ItemAvailabilitybyEvent.Page","""Show Document""","Shift+F7"
"ItemAvailabilitybyTimeline.Page","Delete","Ctrl+Delete"
"ItemBudgetEntries.Page","""<Action24>""","Alt+D"
"ItemCard.Page","""Ledger E&ntries""","Ctrl+F7"
"ItemCard.Page","Dimensions","Alt+D"
"ItemCard.Page","Statistics","F7"
"ItemCharges.Page","""Value E&ntries""","Ctrl+F7"
"ItemCharges.Page","Dimensions","Alt+D"
"ItemJournal.Page","Dimensions","Alt+D"
"ItemJournal.Page","ItemTrackingLines","Shift+Ctrl+I"
"ItemJournal.Page","Card","Shift+F7"
"ItemJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"ItemJournal.Page","Post","F9"
"ItemJournal.Page","""Post and &Print""","Shift+F9"
"ItemJournalBatches.Page","""Edit Journal""","Return"
"ItemJournalBatches.Page","""P&ost""","F9"
"ItemJournalBatches.Page","""Post and &Print""","Shift+F9"
"ItemJournalLines.Page","Dimensions","Alt+D"
"ItemJournalLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"ItemLedgerEntries.Page","Dimensions","Alt+D"
"ItemLedgerEntries.Page","""&Value Entries""","Ctrl+F7"
"ItemLedgerEntriesPreview.Page","Dimensions","Alt+D"
"ItemLedgerEntriesPreview.Page","""&Value Entries""","Ctrl+F7"
"ItemList.Page","DimensionsSingle","Alt+D"
"ItemList.Page","""Ledger E&ntries""","Ctrl+F7"
"ItemList.Page","Action16","F7"
"ItemReclassJournal.Page","Dimensions","Alt+D"
"ItemReclassJournal.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"ItemReclassJournal.Page","Card","Shift+F7"
"ItemReclassJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"ItemReclassJournal.Page","Post","F9"
"ItemReclassJournal.Page","""Post and &Print""","Shift+F9"
"ItemTemplateCard.Page","""Default Dimensions""","Alt+D"
"ItemTracing.Page","ShowDocument","Shift+F7"
"ItemTracing.Page","Card","Shift+F7"
"ItemTracing.Page","LedgerEntries","Ctrl+F7"
"JobCard.Page","""&Dimensions""","Alt+D"
"JobCard.Page","""&Statistics""","F7"
"JobCard.Page","""Ledger E&ntries""","Ctrl+F7"
"JobCard.Page","""<Action83>""","F9"
"JobGLJournal.Page","Dimensions","Alt+D"
"JobGLJournal.Page","Card","Shift+F7"
"JobGLJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"JobGLJournal.Page","Reconcile","Ctrl+F11"
"JobGLJournal.Page","""P&ost""","F9"
"JobGLJournal.Page","""Post and &Print""","Shift+F9"
"JobJournal.Page","Dimensions","Alt+D"
"JobJournal.Page","ItemTrackingLines","Shift+Ctrl+I"
"JobJournal.Page","Card","Shift+F7"
"JobJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"JobJournal.Page","Reconcile","Ctrl+F11"
"JobJournal.Page","""P&ost""","F9"
"JobJournal.Page","""Post and &Print""","Shift+F9"
"JobJournalBatches.Page","""Edit Journal""","Return"
"JobJournalBatches.Page","""P&ost""","F9"
"JobJournalBatches.Page","""Post and &Print""","Shift+F9"
"JobLedgerEntries.Page","Dimensions","Alt+D"
"JobLedgerEntriesPreview.Page","Dimensions","Alt+D"
"JobList.Page","""Dimensions-&Single""","Alt+D"
"JobList.Page","""&Statistics""","F7"
"JobList.Page","""Ledger E&ntries""","Ctrl+F7"
"JobPlanningLines.Page","""Linked Job Ledger E&ntries""","Ctrl+F7"
"JobTaskCard.Page","Dimensions","Alt+D"
"JobTaskLines.Page","JobTaskStatistics","F7"
"JobTaskLines.Page","""Job &Task Card""","Shift+F7"
"JobTaskLines.Page","""Dimensions-&Single""","Alt+D"
"JobTaskLines.Page","""Job Ledger E&ntries""","Ctrl+F7"
"JobTaskLines.Page","""<Action49>""","F9"
"JobTaskLinesSubform.Page","""Dimensions-&Single""","Alt+D"
"JobTaskLinesSubform.Page","""Job Ledger E&ntries""","Ctrl+F7"
"JobTaskLinesSubform.Page","""<Action49>""","F9"
"JobTaskList.Page","""Dimensions-Single""","Alt+D"
"JobWIPCockpit.Page","""<Action31>""","Ctrl+F7"
"JobWIPCockpit.Page","""<Action30>""","F7"
"JobWIPEntries.Page","Dimensions","Alt+D"
"JobWIPGLEntries.Page","Dimensions","Alt+D"
"LoanerCard.Page","""Loaner E&ntries""","Ctrl+F7"
"LoanerList.Page","""Loaner E&ntries""","Ctrl+F7"
"LoggedSegments.Page","""Interaction Log E&ntry""","Ctrl+F7"
"LotNoInformationCard.Page","""Item &Tracking Entries""","Shift+Ctrl+I"
"LotNoInformationList.Page","""Item &Tracking Entries""","Shift+Ctrl+I"
"MachineCenterCalendarMatrix.Page","""Capacity Ledger E&ntries""","Ctrl+F7"
"MachineCenterCalendarMatrix.Page","Statistics","F7"
"MachineCenterCard.Page","""Capacity Ledger E&ntries""","Ctrl+F7"
"MachineCenterCard.Page","Statistics","F7"
"MachineCenterList.Page","""Capacity Ledger E&ntries""","Ctrl+F7"
"MachineCenterList.Page","Statistics","F7"
"MachineCenterTaskList.Page","""Capacity Ledger E&ntries""","Ctrl+F7"
"MachineCenterTaskList.Page","Statistics","F7"
"MaintenanceLedgerEntries.Page","Dimensions","Alt+D"
"MaintLedgEntriesPreview.Page","Dimensions","Alt+D"
"ManagerTimeSheet.Page","""Posting E&ntries""","Ctrl+F7"
"ManagerTimeSheet.Page","""Activity &Details""","Shift+F7"
"ManagerTimeSheet.Page","Approve","Ctrl+F9"
"ManagerTimeSheetArchive.Page","""Posting E&ntries""","Ctrl+F7"
"ManagerTimeSheetArcList.Page","""&View Time Sheet""","Return"
"ManagerTimeSheetbyJob.Page","""Posting E&ntries""","Ctrl+F7"
"ManagerTimeSheetbyJob.Page","""Activity &Details""","Shift+F7"
"ManagerTimeSheetbyJob.Page","Approve","Ctrl+F9"
"ManagerTimeSheetList.Page","""&Edit Time Sheet""","Return"
"ManagerTimeSheetList.Page","""Posting E&ntries""","Ctrl+F7"
"MovementWorksheet.Page","ItemTrackingLines","Shift+Ctrl+I"
"MovementWorksheet.Page","Card","Shift+F7"
"MovementWorksheet.Page","""Warehouse Entries""","Ctrl+F7"
"MyAccounts.Page","Open","Return"
"MyCustomers.Page","Open","Return"
"MyItems.Page","Open","Return"
"MyJobs.Page","Open","Return"
"MyTimeSheets.Page","Open","Return"
"MyVendors.Page","Open","Return"
"O365CouponList.Page","ViewCoupon","Return"
"O365CustomerSalesDocuments.Page","View","Return"
"O365EmailBCCListpart.Page","Open","Return"
"O365EmailCCListpart.Page","Open","Return"
"O365HelpFeedbackSettings.Page","Open","Return"
"O365ImportExportSettings.Page","Open","Return"
"O365IncomingDocAttchList.Page","Open","Return"
"O365InvoiceSendSettings.Page","Open","Return"
"O365InvoicingSalesDocList.Page","Open","Return"
"O365InvoicingSettings.Page","Open","Return"
"O365LearnSettings.Page","Open","Return"
"O365OutstandingCustomerList.Page","View","Return"
"O365PaymentHistoryList.Page","Open","Return"
"O365PaymentHistoryListPart.Page","Open","Return"
"O365SalesDocumentList.Page","Open","Return"
"O365SalesInvoice.Page","Post","Ctrl+Right"
"O365SalesInvoiceLineDummy.Page","Open","Return"
"O365SalesInvoiceLineSubp.Page","Open","Return"
"O365TaxPaymentsSettings.Page","Open","Return"
"O365VATPostingSetupList.Page","Open","Return"
"OfficeContactAssociations.Page","""Customer/Vendor""","Return"
"OfficeDocumentSelection.Page","""View Document""","Return"
"OpportunityCard.Page","Statistics","F7"
"OpportunityCard.Page","""Interaction Log E&ntries""","Ctrl+F7"
"OpportunityList.Page","Statistics","F7"
"OpportunityList.Page","""Interaction Log E&ntries""","Ctrl+F7"
"OrderPlanning.Page","Dimensions","Alt+D"
"OrderPlanning.Page","Card","Shift+F7"
"OutputJournal.Page","Dimensions","Alt+D"
"OutputJournal.Page","""Item Tracking Lines""","Shift+Ctrl+I"
"OutputJournal.Page","Card","Shift+F7"
"OutputJournal.Page","""Item Ledger E&ntries""","Ctrl+F7"
"OutputJournal.Page","Post","F9"
"OutputJournal.Page","""Post and &Print""","Shift+F9"
"PageFields.Page","View","Return"
"PaymentJournal.Page","Dimensions","Alt+D"
"PaymentJournal.Page","Card","Shift+F7"
"PaymentJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"PaymentJournal.Page","ApplyEntries","Shift+F11"
"PaymentJournal.Page","Reconcile","Ctrl+F11"
"PaymentJournal.Page","Post","F9"
"PaymentJournal.Page","""Post and &Print""","Shift+F9"
"PaymentReconciliationJournal.Page","Post","F9"
"PaymentReconciliationJournal.Page","Dimensions","Alt+D"
"PaymentRegistration.Page","PostPayments","F9"
"PhysicalInventoryOrder.Page","Statistics","F7"
"PhysicalInventoryOrder.Page","""Fi&nish""","Ctrl+F9"
"PhysicalInventoryOrder.Page","Post","F9"
"PhysicalInventoryOrder.Page","""Post and &Print""","Shift+F9"
"PhysicalInventoryOrderLines.Page","""Show Document""","Shift+F7"
"PhysicalInventoryOrderSubf.Page","Dimensions","Alt+D"
"PhysInventoryJournal.Page","Dimensions","Alt+D"
"PhysInventoryJournal.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PhysInventoryJournal.Page","Card","Shift+F7"
"PhysInventoryJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"PhysInventoryJournal.Page","""P&ost""","F9"
"PhysInventoryJournal.Page","""Post and &Print""","Shift+F9"
"PhysInventoryLedgerEntries.Page","Dimensions","Alt+D"
"PhysInventoryRecording.Page","""Fi&nish""","Ctrl+F9"
"PhysInvtItemSelection.Page","""Item Card""","Shift+F7"
"PhysInvtRecordingLines.Page","""Show Document""","Shift+F7"
"PickWorksheet.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PickWorksheet.Page","Card","Shift+F7"
"PickWorksheet.Page","""Warehouse Entries""","Ctrl+F7"
"PickWorksheet.Page","""Get Warehouse Documents""","Shift+F11"
"PlannedProdOrderLines.Page","Dimensions","Alt+D"
"PlannedProdOrderLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PlannedProductionOrder.Page","Dimensions","Alt+D"
"PlannedProductionOrder.Page","Statistics","F7"
"PlannedProductionOrders.Page","""Item Ledger E&ntries""","Ctrl+F7"
"PlannedProductionOrders.Page","Dimensions","Alt+D"
"PlannedProductionOrders.Page","Statistics","F7"
"PlanningComponentList.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PlanningComponents.Page","Dimensions","Alt+D"
"PlanningComponents.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PlanningWorksheet.Page","Dimensions","Alt+D"
"PlanningWorksheet.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PlanningWorksheetLineList.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PmtRecJournalsOverview.Page","ViewJournal","Return"
"PmtReconciliationJournals.Page","EditJournal","Return"
"PostedAssemblyOrder.Page","Statistics","F7"
"PostedAssemblyOrder.Page","Dimensions","Alt+D"
"PostedAssemblyOrder.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PostedAssemblyOrders.Page","""Show Document""","Shift+F7"
"PostedAssemblyOrders.Page","Statistics","F7"
"PostedAssemblyOrders.Page","Dimensions","Alt+D"
"PostedAssemblyOrderSubform.Page","Dimensions","Alt+D"
"PostedAssemblyOrderSubform.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PostedInvtPickLines.Page","""Show Document""","Shift+F7"
"PostedInvtPutawayLines.Page","""Show Document""","Shift+F7"
"PostedPhysInvtOrder.Page","Statistics","F7"
"PostedPhysInvtOrderLines.Page","""Show Document""","Shift+F7"
"PostedPhysInvtOrderSubf.Page","Dimensions","Alt+D"
"PostedPhysInvtRecLines.Page","""Show Document""","Shift+F7"
"PostedPurchaseCreditMemo.Page","Statistics","F7"
"PostedPurchaseCreditMemo.Page","Dimensions","Alt+D"
"PostedPurchaseCreditMemo.Page","Vendor","Shift+F7"
"PostedPurchaseCreditMemos.Page","Statistics","F7"
"PostedPurchaseCreditMemos.Page","Dimensions","Alt+D"
"PostedPurchaseCreditMemos.Page","Vendor","Shift+F7"
"PostedPurchaseCrMemoLines.Page","""Show Document""","Shift+F7"
"PostedPurchaseCrMemoLines.Page","Dimensions","Alt+D"
"PostedPurchaseCrMemoLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PostedPurchaseInvoice.Page","Statistics","F7"
"PostedPurchaseInvoice.Page","Dimensions","Alt+D"
"PostedPurchaseInvoice.Page","Vendor","Shift+F7"
"PostedPurchaseInvoiceLines.Page","""Show Document""","Shift+F7"
"PostedPurchaseInvoiceLines.Page","Dimensions","Alt+D"
"PostedPurchaseInvoiceLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PostedPurchaseInvoices.Page","Statistics","F7"
"PostedPurchaseInvoices.Page","Dimensions","Alt+D"
"PostedPurchaseInvoices.Page","Vendor","Shift+F7"
"PostedPurchaseRcptSubform.Page","Dimensions","Alt+D"
"PostedPurchaseReceipt.Page","Statistics","F7"
"PostedPurchaseReceipt.Page","Dimensions","Alt+D"
"PostedPurchaseReceiptLines.Page","""Show Document""","Shift+F7"
"PostedPurchaseReceiptLines.Page","Dimensions","Alt+D"
"PostedPurchaseReceiptLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PostedPurchaseReceipts.Page","Statistics","F7"
"PostedPurchaseReceipts.Page","Dimensions","Alt+D"
"PostedPurchCrMemoSubform.Page","Dimensions","Alt+D"
"PostedPurchInvoiceSubform.Page","Dimensions","Alt+D"
"PostedReturnReceipt.Page","Statistics","F7"
"PostedReturnReceipt.Page","Dimensions","Alt+D"
"PostedReturnReceiptLines.Page","""Show Document""","Shift+F7"
"PostedReturnReceiptLines.Page","Dimensions","Alt+D"
"PostedReturnReceipts.Page","Statistics","F7"
"PostedReturnReceipts.Page","Dimensions","Alt+D"
"PostedReturnReceiptSubform.Page","Dimensions","Alt+D"
"PostedReturnShipment.Page","Statistics","F7"
"PostedReturnShipment.Page","Dimensions","Alt+D"
"PostedReturnShipmentLines.Page","""Show Document""","Shift+F7"
"PostedReturnShipmentLines.Page","Dimensions","Alt+D"
"PostedReturnShipments.Page","Statistics","F7"
"PostedReturnShipments.Page","Dimensions","Alt+D"
"PostedReturnShipmentSubform.Page","Dimensions","Alt+D"
"PostedSalesCreditMemo.Page","Statistics","F7"
"PostedSalesCreditMemo.Page","Dimensions","Alt+D"
"PostedSalesCreditMemo.Page","Customer","Shift+F7"
"PostedSalesCreditMemoLines.Page","""Show Document""","Shift+F7"
"PostedSalesCreditMemoLines.Page","Dimensions","Alt+D"
"PostedSalesCreditMemoLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PostedSalesCreditMemos.Page","Card","Shift+F7"
"PostedSalesCreditMemos.Page","Statistics","F7"
"PostedSalesCreditMemos.Page","Dimensions","Alt+D"
"PostedSalesCreditMemos.Page","Customer","Shift+F7"
"PostedSalesCrMemoSubform.Page","Dimensions","Alt+D"
"PostedSalesInvoice.Page","Statistics","F7"
"PostedSalesInvoice.Page","Dimensions","Alt+D"
"PostedSalesInvoice.Page","Customer","Shift+F7"
"PostedSalesInvoiceLines.Page","""Show Document""","Shift+F7"
"PostedSalesInvoiceLines.Page","Dimensions","Alt+D"
"PostedSalesInvoiceLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PostedSalesInvoices.Page","Statistics","F7"
"PostedSalesInvoices.Page","Dimensions","Alt+D"
"PostedSalesInvoices.Page","Customer","Shift+F7"
"PostedSalesInvoiceSubform.Page","Dimensions","Alt+D"
"PostedSalesShipment.Page","Statistics","F7"
"PostedSalesShipment.Page","Dimensions","Alt+D"
"PostedSalesShipmentLines.Page","""Show Document""","Shift+F7"
"PostedSalesShipmentLines.Page","Dimensions","Alt+D"
"PostedSalesShipmentLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PostedSalesShipments.Page","Statistics","F7"
"PostedSalesShipments.Page","Dimensions","Alt+D"
"PostedSalesShptSubform.Page","Dimensions","Alt+D"
"PostedServCrMemoSubform.Page","Dimensions","Alt+D"
"PostedServiceCreditMemo.Page","Statistics","F7"
"PostedServiceCreditMemo.Page","Dimensions","Alt+D"
"PostedServiceCreditMemos.Page","Statistics","F7"
"PostedServiceCrMemoLines.Page","ShowDocument","Shift+F7"
"PostedServiceCrMemoLines.Page","Dimensions","Alt+D"
"PostedServiceInvoice.Page","Statistics","F7"
"PostedServiceInvoice.Page","Dimensions","Alt+D"
"PostedServiceInvoiceLines.Page","""Show Document""","Shift+F7"
"PostedServiceInvoiceLines.Page","Dimensions","Alt+D"
"PostedServiceInvoices.Page","Statistics","F7"
"PostedServiceInvoices.Page","Dimensions","Alt+D"
"PostedServiceInvoiceSubform.Page","Dimenions","Alt+D"
"PostedServiceShipment.Page","""Service Ledger E&ntries""","Ctrl+F7"
"PostedServiceShipment.Page","""S&tatistics""","F7"
"PostedServiceShipment.Page","Dimensions","Alt+D"
"PostedServiceShipmentLines.Page","Dimenions","Alt+D"
"PostedServiceShipments.Page","Statistics","F7"
"PostedServiceShipments.Page","""Service Ledger E&ntries""","Ctrl+F7"
"PostedServiceShipments.Page","Dimensions","Alt+D"
"PostedServiceShptSubform.Page","Dimensions","Alt+D"
"PostedServiceShptSubform.Page","ServiceShipmentLines","Shift+Ctrl+I"
"PostedServShptLineList.Page","""&Show Document""","Shift+F7"
"PostedTransferRcptSubform.Page","Dimensions","Alt+D"
"PostedTransferRcptSubform.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PostedTransferReceipt.Page","Statistics","F7"
"PostedTransferReceipt.Page","Dimensions","Alt+D"
"PostedTransferReceiptLines.Page","""Show Document""","Shift+F7"
"PostedTransferReceiptLines.Page","Dimensions","Alt+D"
"PostedTransferReceipts.Page","Statistics","F7"
"PostedTransferReceipts.Page","Dimensions","Alt+D"
"PostedTransferShipment.Page","Statistics","F7"
"PostedTransferShipment.Page","Dimensions","Alt+D"
"PostedTransferShipmentLines.Page","""Show Document""","Shift+F7"
"PostedTransferShipmentLines.Page","Dimensions","Alt+D"
"PostedTransferShipments.Page","Statistics","F7"
"PostedTransferShipments.Page","Dimensions","Alt+D"
"PostedTransferShptSubform.Page","Dimensions","Alt+D"
"PostedTransferShptSubform.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PostedWhseReceiptLines.Page","""Show Posted Whse. Document""","Shift+F7"
"PostedWhseReceiptList.Page","Card","Shift+F7"
"PostedWhseShipmentLines.Page","""Show Posted Whse. Document""","Shift+F7"
"PostedWhseShipmentList.Page","Card","Shift+F7"
"ProdBOMMatperVerMatrix.Page","""&Card""","Shift+F7"
"ProdOrderCompLineList.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"ProdOrderComponents.Page","Dimensions","Alt+D"
"ProdOrderComponents.Page","ItemTrackingLines","Shift+Ctrl+I"
"ProdOrderLineList.Page","ShowDocument","Shift+F7"
"ProdOrderLineList.Page","ShowTrackingLines","Shift+Ctrl+I"
"ProductionJournal.Page","Dimensions","Alt+D"
"ProductionJournal.Page","ItemTrackingLines","Shift+Ctrl+I"
"ProductionJournal.Page","Card","Shift+F7"
"ProductionJournal.Page","""Item Ledger E&ntries""","Ctrl+F7"
"ProductionJournal.Page","Post","F9"
"ProductionJournal.Page","""Post and &Print""","Shift+F9"
"ProductionOrderList.Page","Card","Shift+F7"
"ProductionOrderList.Page","""Item Ledger E&ntries""","Ctrl+F7"
"ProductionOrderList.Page","Dimensions","Alt+D"
"ProductionOrderList.Page","Statistics","F7"
"ProfileQuestionnaires.Page","""Edit Questionnaire Setup""","Return"
"ProfileQuestionnaireSetup.Page","""Question Details""","Shift+F7"
"PurchaseCreditMemo.Page","Statistics","F7"
"PurchaseCreditMemo.Page","Vendor","Shift+F7"
"PurchaseCreditMemo.Page","Dimensions","Alt+D"
"PurchaseCreditMemo.Page","Release","Ctrl+F9"
"PurchaseCreditMemo.Page","ApplyEntries","Shift+F11"
"PurchaseCreditMemo.Page","Post","F9"
"PurchaseCreditMemo.Page","PostAndPrint","Shift+F9"
"PurchaseCreditMemos.Page","Statistics","F7"
"PurchaseCreditMemos.Page","Vendor","Shift+F7"
"PurchaseCreditMemos.Page","Dimensions","Alt+D"
"PurchaseCreditMemos.Page","Release","Ctrl+F9"
"PurchaseCreditMemos.Page","Post","F9"
"PurchaseCreditMemos.Page","PostAndPrint","Shift+F9"
"PurchaseInvoice.Page","Statistics","F7"
"PurchaseInvoice.Page","Vendor","Shift+F7"
"PurchaseInvoice.Page","Dimensions","Alt+D"
"PurchaseInvoice.Page","""Re&lease""","Ctrl+F9"
"PurchaseInvoice.Page","Post","F9"
"PurchaseInvoice.Page","PostAndPrint","Shift+F9"
"PurchaseInvoices.Page","Statistics","F7"
"PurchaseInvoices.Page","Dimensions","Alt+D"
"PurchaseInvoices.Page","Vendor","Shift+F7"
"PurchaseInvoices.Page","Release","Ctrl+F9"
"PurchaseInvoices.Page","PostSelected","F9"
"PurchaseInvoices.Page","PostAndPrint","Shift+F9"
"PurchaseJournal.Page","Dimensions","Alt+D"
"PurchaseJournal.Page","Card","Shift+F7"
"PurchaseJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"PurchaseJournal.Page","""Apply Entries""","Shift+F11"
"PurchaseJournal.Page","Reconcile","Ctrl+F11"
"PurchaseJournal.Page","Post","F9"
"PurchaseJournal.Page","""Post and &Print""","Shift+F9"
"PurchaseLines.Page","""Show Document""","Shift+F7"
"PurchaseLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PurchaseList.Page","Card","Shift+F7"
"PurchaseListArchive.Page","Card","Shift+F7"
"PurchaseOrder.Page","Dimensions","Alt+D"
"PurchaseOrder.Page","Statistics","F7"
"PurchaseOrder.Page","Vendor","Shift+F7"
"PurchaseOrder.Page","Release","Ctrl+F9"
"PurchaseOrder.Page","Post","F9"
"PurchaseOrder.Page","""Post and &Print""","Shift+F9"
"PurchaseOrderArchive.Page","Card","Shift+F7"
"PurchaseOrderArchive.Page","Dimensions","Alt+D"
"PurchaseOrderArchives.Page","Dimensions","Alt+D"
"PurchaseOrderArchiveSubform.Page","Dimensions","Alt+D"
"PurchaseOrderList.Page","Dimensions","Alt+D"
"PurchaseOrderList.Page","Statistics","F7"
"PurchaseOrderList.Page","Release","Ctrl+F9"
"PurchaseOrderList.Page","Post","F9"
"PurchaseOrderList.Page","PostAndPrint","Shift+F9"
"PurchaseOrders.Page","""Show Document""","Shift+F7"
"PurchaseOrderSubform.Page","""Item Tracking Lines""","Shift+Ctrl+I"
"PurchaseOrderSubform.Page","Dimensions","Alt+D"
"PurchaseQuote.Page","Statistics","F7"
"PurchaseQuote.Page","Vendor","Shift+F7"
"PurchaseQuote.Page","Dimensions","Alt+D"
"PurchaseQuote.Page","Release","Ctrl+F9"
"PurchaseQuoteArchive.Page","Card","Shift+F7"
"PurchaseQuoteArchive.Page","Dimensions","Alt+D"
"PurchaseQuoteArchives.Page","Dimensions","Alt+D"
"PurchaseQuoteArchiveSubform.Page","Dimensions","Alt+D"
"PurchaseQuotes.Page","Statistics","F7"
"PurchaseQuotes.Page","Dimensions","Alt+D"
"PurchaseQuotes.Page","Release","Ctrl+F9"
"PurchaseQuoteSubform.Page","Dimensions","Alt+D"
"PurchaseQuoteSubform.Page","""Item Tracking Lines""","Shift+Ctrl+I"
"PurchaseReturnListArchive.Page","""<Action1102601003>""","Alt+D"
"PurchaseReturnOrder.Page","Statistics","F7"
"PurchaseReturnOrder.Page","Vendor","Shift+F7"
"PurchaseReturnOrder.Page","Dimensions","Alt+D"
"PurchaseReturnOrder.Page","""Re&lease""","Ctrl+F9"
"PurchaseReturnOrder.Page","""Apply Entries""","Shift+F11"
"PurchaseReturnOrder.Page","Post","F9"
"PurchaseReturnOrder.Page","PostAndPrint","Shift+F9"
"PurchaseReturnOrderArchive.Page","Card","Shift+F7"
"PurchaseReturnOrderArchive.Page","Dimensions","Alt+D"
"PurchaseReturnOrderList.Page","Statistics","F7"
"PurchaseReturnOrderList.Page","Dimensions","Alt+D"
"PurchaseReturnOrderList.Page","Release","Ctrl+F9"
"PurchaseReturnOrderList.Page","Post","F9"
"PurchaseReturnOrderList.Page","PostAndPrint","Shift+F9"
"PurchaseReturnOrders.Page","""Show Document""","Shift+F7"
"PurchaseReturnOrderSubform.Page","Dimensions","Alt+D"
"PurchaseReturnOrderSubform.Page","ItemTrackingLines","Shift+Ctrl+I"
"PurchCrMemoSubform.Page","Dimensions","Alt+D"
"PurchCrMemoSubform.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PurchInvoiceSubform.Page","Dimensions","Alt+D"
"PurchInvoiceSubform.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PurchReceiptLines.Page","""Show Document""","Shift+F7"
"PurchReceiptLines.Page","Dimensions","Alt+D"
"PurchReceiptLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PurchReturnOrderArcSubform.Page","Dimensions","Alt+D"
"PutawayWorksheet.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"PutawayWorksheet.Page","Card","Shift+F7"
"PutawayWorksheet.Page","""Warehouse Entries""","Ctrl+F7"
"PutawayWorksheet.Page","GetWarehouseDocuments","Shift+F11"
"RecurringCapacityJournal.Page","Dimensions","Alt+D"
"RecurringCapacityJournal.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"RecurringCapacityJournal.Page","Card","Shift+F7"
"RecurringCapacityJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"RecurringCapacityJournal.Page","""P&ost""","F9"
"RecurringCapacityJournal.Page","""Post and &Print""","Shift+F9"
"RecurringConsumptionJournal.Page","Dimensions","Alt+D"
"RecurringConsumptionJournal.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"RecurringConsumptionJournal.Page","Card","Shift+F7"
"RecurringConsumptionJournal.Page","""Item Ledger E&ntries""","Ctrl+F7"
"RecurringConsumptionJournal.Page","""P&ost""","F9"
"RecurringConsumptionJournal.Page","""Post and &Print""","Shift+F9"
