#TYPE System.Management.Automation.PSCustomObject
"File","Action","ShortCutKey"
"BCO365ItemList.Page","Edit","Return"
"BCO365PaymentInstrSettings.Page","Edit","Return"
"BCO365SalesInvoice.Page","Post","Ctrl+Right"
"BCO365SentDocumentsList.Page","Open","Return"
"BCO365VATPostingSetupList.Page","Open","Return"
"BinContentCreationWorksheet.Page","CreateBinContent","F9"
"BinCreationWkshNameList.Page","""Edit Worksheet""","Return"
"BinCreationWorksheet.Page","""&Create Bins""","F9"
"BlanketAssemblyOrder.Page","Statistics","F7"
"BlanketAssemblyOrder.Page","Dimensions","Alt+D"
"BlanketAssemblyOrders.Page","Statistics","F7"
"BlanketAssemblyOrders.Page","Dimensions","Alt+D"
"BlanketAssemblyOrderSubform.Page","Dimensions","Alt+D"
"BlanketPurchaseOrder.Page","Statistics","F7"
"BlanketPurchaseOrder.Page","Card","Shift+F7"
"BlanketPurchaseOrder.Page","Dimensions","Alt+D"
"BlanketPurchaseOrder.Page","Release","Ctrl+F9"
"BlanketPurchaseOrderArchive.Page","Card","Shift+F7"
"BlanketPurchaseOrders.Page","Statistics","F7"
"BlanketPurchaseOrders.Page","Dimensions","Alt+D"
"BlanketPurchaseOrders.Page","Release","Ctrl+F9"
"BlanketPurchaseOrderSubform.Page","Dimensions","Alt+D"
"BlanketPurchOrderArchSub.Page","Dimensions","Alt+D"
"BlanketSalesOrder.Page","Statistics","F7"
"BlanketSalesOrder.Page","Card","Shift+F7"
"BlanketSalesOrder.Page","Dimensions","Alt+D"
"BlanketSalesOrder.Page","Release","Ctrl+F9"
"BlanketSalesOrderArchive.Page","Card","Shift+F7"
"BlanketSalesOrderArchSub.Page","Dimensions","Alt+D"
"BlanketSalesOrders.Page","Statistics","F7"
"BlanketSalesOrders.Page","Dimensions","Alt+D"
"BlanketSalesOrders.Page","""Re&lease""","Ctrl+F9"
"BlanketSalesOrderSubform.Page","Dimensions","Alt+D"
"BudgetNamesPurchase.Page","EditBudget","Return"
"BudgetNamesSales.Page","EditBudget","Return"
"CALTestSuites.Page","""&Run All""","Shift+Ctrl+L"
"CALTestTool.Page","Run","Shift+Ctrl+L"
"CALTestTool.Page","ClearResults","Ctrl+F7"
"CALTestTool.Page","GetTestMethods","F9"
"CampaignCard.Page","""E&ntries""","Ctrl+F7"
"CampaignCard.Page","Statistics","F7"
"CampaignCard.Page","Dimensions","Alt+D"
"CampaignEntries.Page","""Interaction Log E&ntry""","Ctrl+F7"
"CampaignList.Page","""E&ntries""","Ctrl+F7"
"CampaignList.Page","Statistics","F7"
"CampaignList.Page","""Dimensions-Single""","Alt+D"
"CapacityJournal.Page","Dimensions","Alt+D"
"CapacityJournal.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"CapacityJournal.Page","Card","Shift+F7"
"CapacityJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"CapacityJournal.Page","""P&ost""","F9"
"CapacityJournal.Page","""Post and &Print""","Shift+F9"
"CapacityLedgerEntries.Page","Dimensions","Alt+D"
"CapacityLedgerEntries.Page","""&Value Entries""","Ctrl+F7"
"CashFlowAccountCard.Page","Entries","Ctrl+F7"
"CashFlowAccountList.Page","Entries","Ctrl+F7"
"CashFlowForecastCard.Page","""E&ntries""","Ctrl+F7"
"CashFlowForecastCard.Page","""&Statistics""","F7"
"CashFlowForecastEntries.Page","Dimensions","Alt+D"
"CashFlowForecastList.Page","""E&ntries""","Ctrl+F7"
"CashFlowForecastList.Page","Statistics","F7"
"CashFlowManualExpenses.Page","Dimensions","Alt+D"
"CashFlowManualRevenues.Page","Dimensions","Alt+D"
"CashFlowWorksheet.Page","Dimensions","Alt+D"
"CashFlowWorksheet.Page","Card","Shift+F7"
"CashFlowWorksheet.Page","Entries","Ctrl+F7"
"CashFlowWorksheet.Page","SuggestWorksheetLines","Shift+Ctrl+F"
"CashFlowWorksheet.Page","Register","F9"
"CashReceiptJournal.Page","Dimensions","Alt+D"
"CashReceiptJournal.Page","Card","Shift+F7"
"CashReceiptJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"CashReceiptJournal.Page","""Apply Entries""","Shift+F11"
"CashReceiptJournal.Page","Reconcile","Ctrl+F11"
"CashReceiptJournal.Page","Post","F9"
"CashReceiptJournal.Page","""Post and &Print""","Shift+F9"
"CFEntriesDimMatrix.Page","Dimensions","Alt+D"
"ChangeProductionOrderStatus.Page","""Item Ledger E&ntries""","Ctrl+F7"
"ChangeProductionOrderStatus.Page","Dimensions","Alt+D"
"ChangeProductionOrderStatus.Page","Statistics","F7"
"ChartofAccounts.Page","""Ledger E&ntries""","Ctrl+F7"
"ChartofAccounts.Page","""Dimensions-Single""","Alt+D"
"ChartofAccountsGL.Page","AccountGeneralLedgerEntries","Ctrl+F7"
"ChartofAccountsGL.Page","""Dimensions-Single""","Alt+D"
"ChartofAccsAnalysisView.Page","Card","Shift+F7"
"ChartofAccsAnalysisView.Page","""Ledger E&ntries""","Ctrl+F7"
"ChartofAccsAnalysisView.Page","""Dimensions-Single""","Alt+D"
"ChartofCashFlowAccounts.Page","Entries","Ctrl+F7"
"ChartofCostCenters.Page","""Cost E&ntries""","Ctrl+F7"
"ChartofCostCenters.Page","""&Balance""","F7"
"ChartofCostObjects.Page","""Cost E&ntries""","Ctrl+F7"
"ChartofCostObjects.Page","""&Balance""","F7"
"ChartofCostTypes.Page","""Cost E&ntries""","Ctrl+F7"
"ChartofCostTypes.Page","""&Balance""","F7"
"CheckCreditLimit.Page","Card","Shift+F7"
"CheckCreditLimit.Page","Statistics","F7"
"CODAStatement.Page","Card","Shift+F7"
"CODAStatement.Page","""Transfer to General Ledger""","F9"
"ConfigPackageRecords.Page","""Show Error""","F7"
"ConfigTemplates.Page","""Edit Template""","Return"
"ConsumptionJournal.Page","Dimensions","Alt+D"
"ConsumptionJournal.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"ConsumptionJournal.Page","Card","Shift+F7"
"ConsumptionJournal.Page","""Item Ledger E&ntries""","Ctrl+F7"
"ConsumptionJournal.Page","""P&ost""","F9"
"ConsumptionJournal.Page","""Post and &Print""","Shift+F9"
"ContactCard.Page","""Interaction Log E&ntries""","Ctrl+F7"
"ContactCard.Page","Statistics","F7"
"ContactList.Page","""Interaction Log E&ntries""","Ctrl+F7"
"ContactList.Page","Statistics","F7"
"ContactSegmentList.Page","""&Card""","Shift+F7"
"ContractLineSelection.Page","""&Card""","Shift+F7"
"CostAllocation.Page","""Cost E&ntries""","Ctrl+F7"
"CostAllocationSources.Page","""&Allocation Target""","Ctrl+F7"
"CostAllocationTarget.Page","AllocationTargetCard","Shift+F7"
"CostBdgtperCenterMatrix.Page","""&Card""","Shift+F7"
"CostBdgtperCenterMatrix.Page","""E&ntries""","Ctrl+F7"
"CostBdgtperObjectMatrix.Page","""&Card""","Shift+F7"
"CostBdgtperObjectMatrix.Page","""E&ntries""","Ctrl+F7"
"CostBudgetNames.Page","""Cost Budget per Period""","Return"
"CostBudgetperPeriodMatrix.Page","""&Card""","Shift+F7"
"CostBudgetperPeriodMatrix.Page","""E&ntries""","Ctrl+F7"
"CostBudgetRegisters.Page","""&Cost Budget Entries""","Ctrl+F7"
"CostCenterCard.Page","""E&ntries""","Ctrl+F7"
"CostCenterCard.Page","""&Balance""","F7"
"CostJournal.Page","Post","F9"
"CostJournal.Page","PostandPrint","Shift+F9"
"CostJournalBatches.Page","""Edit Journal""","Return"
"CostJournalBatches.Page","""P&ost""","F9"
"CostObjectCard.Page","""E&ntries""","Ctrl+F7"
"CostObjectCard.Page","""&Balance""","F7"
"CostRegisters.Page","""&Cost Entries""","Ctrl+F7"
"CostTypeBalanceBudget.Page","Card","Shift+F7"
"CostTypeBalanceBudget.Page","""Cost E&ntries""","Ctrl+F7"
"CostTypeBalanceMatrix.Page","""&Card""","Shift+F7"
"CostTypeBalanceMatrix.Page","""E&ntries""","Ctrl+F7"
"CostTypeCard.Page","""E&ntries""","Ctrl+F7"
"CostTypeList.Page","""Cost E&ntries""","Ctrl+F7"
"CostTypeList.Page","""&Balance""","F7"
"CreditTransferRegisters.Page","Entries","Return"
"CRMSynchJobQueue.Page","EditJob","Return"
"CustLedgEntriesPreview.Page","Dimensions","Alt+D"
"CustomerCard.Page","Dimensions","Alt+D"
"CustomerCard.Page","""Ledger E&ntries""","Ctrl+F7"
"CustomerCard.Page","Action76","F7"
"CustomerLedgerEntries.Page","Customer","Shift+F7"
"CustomerLedgerEntries.Page","Dimensions","Alt+D"
"CustomerLedgerEntries.Page","""Detailed &Ledger Entries""","Ctrl+F7"
"CustomerLedgerEntries.Page","""Apply Entries""","Shift+F11"
"CustomerLedgerEntries.Page","""Show Document""","Return"
"CustomerList.Page","DimensionsSingle","Alt+D"
"CustomerList.Page","CustomerLedgerEntries","Ctrl+F7"
"CustomerList.Page","Statistics","F7"
"CustomerList.Page","CustomerLedgerEntriesHistory","Ctrl+F7"
"CustomerServiceContracts.Page","""&Card""","Shift+F7"
"CustomerTemplateCard.Page","Dimensions","Alt+D"
"CustomerTemplateList.Page","""Dimensions-Single""","Alt+D"
"CustTemplateCard.Page","""Default Dimensions""","Alt+D"
"DataExchLineDefPart.Page","""Field Mapping""","Return"
"DemandForecastNames.Page","""Edit Demand Forecast""","Return"
"DirectDebitCollections.Page","Entries","Return"
"DispatchBoard.Page","""&Show Document""","Shift+F7"
"DomiciliationJournal.Page","Dimensions","Shift+Ctrl+D"
"DomiciliationJournal.Page","Card","Shift+F7"
"DomiciliationJournal.Page","LedgerEntries","Ctrl+F7"
"DomiciliationJournalBatches.Page","""Edit Journal""","Return"
"EBPaymentJournal.Page","Dimensions","Shift+Ctrl+D"
"EBPaymentJournal.Page","Card","Shift+F7"
"EBPaymentJournal.Page","LedgerEntries","Ctrl+F7"
"EBPaymentJournalBatches.Page","""Edit Journal""","Return"
"ECSLReportSubform.Page","ShowLines","Return"
"EmplLedgerEntriesPreview.Page","Dimensions","Alt+D"
"EmployeeCard.Page","Dimensions","Alt+D"
"EmployeeCard.Page","""Ledger E&ntries""","Ctrl+F7"
"EmployeeLedgerEntries.Page","Dimensions","Alt+D"
"EmployeeLedgerEntries.Page","""Detailed &Ledger Entries""","Ctrl+F7"
